id,position,label,description,start_date,replaces,end_date,replaced_by,constituency,of,election
Q880613,Q17598395,member of the Washington House of Representatives,elected Representative,"",,,,,,
Q880613,Q19647220,Governor of Washington,"head of the Washington State, USA",1965-01-11,Albert Rosellini,1977-01-12,Dixy Lee Ray,,,
Q881037,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q881037,Q5589688,Governor of Nebraska,"","",,,,,,
Q881301,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q881301,Q13218630,United States representative,elected representative in the US,1966-11-08,,1973-01-03,,,,
Q881301,Q20765963,Governor of Arkansas,"","",,,,,,
Q881301,Q7891290,United States Senate Democratic Conference Secretary,"",1989-01-03,,1995-01-03,,,,
Q881318,Q13217683,United States Senator,member of the United States Senate,1971-01-03,Thomas J. Dodd,1989-01-03,Joe Lieberman,,,
Q881318,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q881318,Q887090,Governor of Connecticut,governor of the U.S. state of Connecticut,1991-01-09,William O'Neill,1995-01-04,John G. Rowland,,,
Q881361,Q13217683,United States Senator,member of the United States Senate,1975-01-03,,1999-01-03,,,,
Q881361,Q20765963,Governor of Arkansas,"",1971-01-12,,1975-01-03,,,,
Q882362,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q882362,Q2550683,Governor of Oklahoma,governor of the U.S. state of Oklahoma,"",,,,,,
Q885559,Q13217683,United States Senator,member of the United States Senate,1989-01-03,Chic Hecht,2001-01-03,John Ensign,,,
Q885559,Q20801651,Governor of Nevada,"",1983-01-03,Robert List,1989-01-03,Bob Miller,,,
Q885583,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q885583,Q878942,Governor of Virginia,position,1982-01-16,John N. Dalton,1986-01-18,Gerald L. Baliles,,,
Q885583,Q931202,Lieutenant Governor of Virginia,position,1978-01-14,,1982-01-16,,,,
Q887338,Q13217683,United States Senator,member of the United States Senate,1976-12-29,John O. Pastore,1999-10-24,Lincoln Chafee,,,
Q887338,Q20765611,Governor of Rhode Island,"",1963-01-01,"John A. Notte, Jr.",1969-01-07,Frank Licht,,,
Q887338,Q940135,United States Secretary of the Navy,position,1969-01-31,Paul Robert Ignatius,1972-05-04,John Warner,,,
Q887841,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q888132,Q13217683,United States Senator,member of the United States Senate,2006-01-17,Jon Corzine,,,,,
Q888132,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q888132,Q18536527,member of the New Jersey General Assembly,"","",,,,,,
Q888132,Q19385767,member of the State Senate of New Jersey,"","",,,,,,
Q888132,Q5255561,Democratic Caucus Chairman of the United States House of Representatives,"",2003-01-03,Martin Frost,2006-01-16,Jim Clyburn,,,
Q888132,Q5255564,Democratic Caucus Vice-Chairman of the United States House of Representatives,"",1999-01-03,Barbara B. Kennelly,2003-01-03,Jim Clyburn,,,
Q888183,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q888183,Q19360415,member of the Oregon House of Representatives,"elected Representative in Oregon, USA","",,,,,,
Q918265,Q13217683,United States Senator,member of the United States Senate,1999-01-03,,2011-01-03,,,,
Q918265,Q13218630,United States representative,elected representative in the US,1987-01-03,,1999-01-03,,Kentucky's 4th congressional district,,
Q919448,Q13217683,United States Senator,member of the United States Senate,1975-01-03,Peter H. Dominick,1987-01-03,Tim Wirth,,,
Q919448,Q16258496,United States Special Envoy for Northern Ireland,"",2014-10-22,,,,,,
Q923242,Q13217683,United States Senator,member of the United States Senate,2010-11-15,,,,Delaware,,
Q925052,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q925052,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q925052,Q19360976,member of the South Dakota House of Representatives,elected representative in South Dakota,"",,,,,,
Q925743,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q926069,Q13217683,United States Senator,member of the United States Senate,2011-01-03,George Voinovich,,,,,
Q926069,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q929581,Q13217683,United States Senator,member of the United States Senate,2013-01-03,,,,Arizona,,
Q929581,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q931345,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q931345,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q942027,Q13217683,United States Senator,member of the United States Senate,1977-01-02,John V. Tunney,1983-01-03,Pete Wilson,California,,
Q946305,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q946305,Q17548315,member of the Georgia House of Representatives,"","",,,,,,
Q955218,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q955218,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q955218,Q18655026,member of the State Senate of Idaho,"","",,,,,,
Q957690,Q13217683,United States Senator,member of the United States Senate,2009-01-03,Pete Domenici,,,,,
Q957690,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q957690,Q4818643,Attorney General of New Mexico,attorney general for the U.S. state of New Mexico,1991-01-01,Hal Stratton,1999-01-01,Patricia A. Madrid,,,
Q963214,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q963214,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q964959,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q964959,Q6627401,Mayor of Albuquerque,"",1967-10,,1970-03,,,,
Q969757,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q969757,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q970272,Q13217683,United States Senator,member of the United States Senate,2011-01-03,,,,,,
Q971308,Q13217683,United States Senator,member of the United States Senate,2011-01-03,Arlen Specter,,,,,
Q971308,Q13218630,United States representative,elected representative in the US,1999-01-03,Paul McHale,2005-01-03,Charlie Dent,Pennsylvania's 15th congressional district,,
Q977134,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q977134,Q13218630,United States representative,elected representative in the US,"",,,,,,
Q978350,Q13217683,United States Senator,member of the United States Senate,2009-09-09,Mel Martinez,2011-01-03,Marco Rubio,Florida,,
Q984376,Q13217683,United States Senator,member of the United States Senate,"",,,,,,
Q984376,Q18341783,Member of the Wyoming House of Representatives,"","",,,,,,
Q984376,Q19394559,member of the State Senate of Wyoming,"","",,,,,,
