id,name,gender,identifier__VIAF,identifier__BNF,birth_date,given_name,identifier__sycomore,identifier__senatfr,image,identifier__IMDB,identifier__MusicBrainz,identifier__EuroparlMEP,identifier__LCAuth,identifier__GND,identifier__discogs,family_name,identifier__freebase,identifier__journalisted,identifier__NPG,identifier__parliamentDOTuk,identifier__ISNI,identifier__NNDB,identifier__Muzinger,identifier__NTA,identifier__SUDOC,identifier__CANTIC,honorific_prefix,website,identifier__ULAN,identifier__OpenPlaques,honorific_suffix,email,identifier__NDL,name__en,name__be,name__ru,name__pl,identifier__IIAF,name__be_tarask,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,wikipedia__pl,original_wikiname,wikipedia__be,wikipedia__plwikiquote,name__uk,wikipedia__be_x_old,wikipedia__ru,wikipedia__uk,name__ja,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,occupation,name__sr,wikipedia__hu,wikipedia__sr,facebook,wikipedia__bewikiquote,name__ar,name__ko,wikipedia__ar,wikipedia__ko,name__kana,wikipedia__es,name__zh,wikipedia__commons
Q434537,"Vadim Devyatovskiy",male,,,1977-03-20,Vadzim,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Vadim_Devyatovskiy.jpg,,,,,,,,/m/094xcs,,,,,,,,,,,,,,,,,"Vadim Devyatovskiy","Вадзім Анатолевіч Дзевятоўскі","Девятовский, Вадим Анатольевич","Wadzim Dziewiatouski",139904,"Вадзім Дзевятоўскі",,,,,,,,,,,,"Wadsim Dsewjatouski",,"Vadim Devyatovskiy","Vadim Devjatovski",,"Vadim Devjatovski","Vadim Devyatovskiy",,,,,,,,,"Vadzim Dzevjatoŭski",,,,,,,"Vadim Devjatovskij",,,"Vadzim Dzevjatowski",,,,"Vadim Devyatovskiy",,,,,,,,,"Vadzim Dzevjatoŭski",,,,,"Wadzim Dziewiatouski","Wadzim Dziewiatouski","Вадзім Анатолевіч Дзевятоўскі",,"Дев'ятовський Вадим Анатолійович","Вадзім Дзевятоўскі","Девятовский, Вадим Анатольевич","Дев'ятовський Вадим Анатолійович","ワディム・デフヤトフスキー","Wadsim Dsewjatouski","Vadim Devyatovskiy","Vadim Devjatovski","Vadzim Dzevjatouski","Vadzim Dzeviatouski","Vadzim Dzevjatoŭski","ワディム・デフヤトフスキー","Vadzim Dzevjatowski","Vadim Devjatovskij","Vadim Devyatovskiy","Vadzim Dzevjatoŭski","hammer thrower",,,,,,"فاديم ديفياتوفسكي","바딤 데비야토프스키","فاديم ديفياتوفسكي","바딤 데비야토프스키","ワジム・デビャトフスキー",,,
Q6656652,"Alyaksandr Aheeu",male,,,1952-01-31,Alyaksandr,,,,,,,,,,Ahiejeu,,,,,,,,,,,,,,,,,,"Alyaksandr Aheeu","Аляксандр Агееў","Агеев, Александр Викторович","Alaksandr Ahiejeu",,"Аляксандар Агееў",,,,,,,,,,,,"Alyaksandr Aheeu",,"Alyaksandr Aheeu",,,,"Alyaksandr Aheeu",,,,,,,,,"Alyaksandr Aheeu",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Ahiejeu (polityk)","Alaksandr Ahiejeu (polityk)","Аляксандр Віктаравіч Агееў","Alaksandr Ahiejeu (polityk)",,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,
Q669664,"Aliaksandr Bahdanovich",male,,,1982-04-29,Alyaksandr,,,,,,,,,,Bahdanovich,/m/04jb81m,,,,,,,,,,,,,,,,,"Aliaksandr Bahdanovich","Аляксандр Віктаравіч Багдановіч","Александр Викторович Богданович","Alaksandr Bahdanowicz",,"Аляксандар Багдановіч",,,,,,,,,,,,,,"Aliaksandr Bahdanovich",,,"Aljaksandr Bahdanovitš","Aliaksandr Bahdanovich",,,,,,,,,"Aljaksandr Bahdanovič",,,,,,,"Aliaksandr Bahdanovich",,,"Aliaksandr Bahdanovich",,,,"Aliaksandr Bahdanovich",,,,,,,,,"Aliaksandr Bahdanovitj",,,,,"Alaksandr Bahdanowicz","Аляксандр Віктаравіч Багдановіч","Аляксандр Віктаравіч Багдановіч",,"Богданович Олександр Вікторович","Аляксандар Багдановіч","Богданович, Александр Викторович","Богданович Олександр Вікторович",,,"Aliaksandr Bahdanovich",,"Aljaksandr Bahdanovitš","Aliaksandr Bahdanovich","Aljaksandr Bahdanovič",,,"Aliaksandr Bahdanovich","Aliaksandr Bahdanovich","Aljaksandr Bahdanovitj",kayaker,,,,,,,"알리악산드르 바흐다노비치",,"알리악산드르 바흐다노비치",,"Aliaxandr Bahdanovich",,
Q9144071,"Аляксандр Іванавіч Разганаў",male,,,1953-02-06,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Разганаў",,"Alaksandr Razhanau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Razhanau",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Razhanau","Alaksandr Razhanau","Аляксандр Іванавіч Разганаў","Alaksandr Razhanau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9144087,"Аляксандр Іванавіч Зазуля",male,,,1965-07-09,Alyaksandr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Аляксандр Іванавіч Зазуля",,"Alaksandr Zazula",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaksandr Zazula","Alaksandr Zazula","Аляксандр Іванавіч Зазуля",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9336209,"Siarhei Bokhan",male,,,1956-01-08,Syarhey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siarhei Bokhan","Сяргей Бохан","Бохан, Сергей Николаевич","Siarhiej Bochan",,"Сяргей Бохан",,,,,,,,,,,,,,,,,,"Siarhei Bokhan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siarhiej Bochan","Siarhiej Bochan","Сяргей Мікалаевіч Бохан",,,,,,,,,,,,,,,,,,"railway worker",,,,,,,,,,,,,
Q9336219,"Sergey Konoplich",male,,,1957-03-28,Syarhey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sergey Konoplich","Сяргей Міхайлавіч Канопліч",,"Siarhiej Kanoplicz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siarhiej Kanoplicz","Siarhiej Kanoplicz","Сяргей Міхайлавіч Канопліч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9348622,"Svyatlana Shylava",female,,,1961-04-18,Sviatlana,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Svyatlana Shylava","Святлана Дзмітрыеўна Шылава","Светлана Дмитриевна Шилова","Swiatłana Szyława",,"Сьвятлана Дзьмітрыеўна Шылава",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swiatłana Szyława","Swiatłana Szyława","Святлана Дзмітрыеўна Шылава",,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,
Q9367697,"Vladimir Vasilenko",male,,,1963-11-10,Uladzimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vladimir Vasilenko","Уладзімір Мікалаевіч Васіленка",,"Uładzimir Wasilenka",,"Уладзімер Васіленка",,,,,,,,,,,,,,,,,,"Vladimir Vasilenko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Uładzimir Wasilenka","Uładzimir Wasilenka","Уладзімір Мікалаевіч Васіленка",,,"Уладзімер Васіленка",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9370087,"Валянціна Іосіфаўна Жураўская",female,,,1959-08-07,Valyantsina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Валянціна Іосіфаўна Жураўская",,"Walancina Żurauska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walancina Żurauska","Walancina Żurauska","Валянціна Іосіфаўна Жураўская",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9371375,"Vasil Alakseenka",male,,,1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vasil Alakseenka","Васіль Аляксеенка","Алексеенко, Василий Анатольевич","Wasil Alaksiejanka",,"Васіль Аляксеенка",,,,,,,,,,,,"Vasil Alakseenka",,"Vasil Alakseenka",,,,"Vasil Alakseenka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wasil Alaksiejanka","Wasil Alaksiejanka","Васіль Анатольевіч Аляксеенка",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9373951,"Віктар Аляксандравіч Гумінскі",male,,,1955-08-03,Viktar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Віктар Аляксандравіч Гумінскі",,"Wiktar Huminski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wiktar Huminski","Wiktar Huminski","Віктар Аляксандравіч Гумінскі",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9375489,"Vitaly Busko",male,,,1956-08-07,Vitali,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vitaly Busko","Віталій Леанідавіч Бусько",,"Witalij Buśko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Witalij Buśko","Witalij Buśko","Віталій Леанідавіч Бусько",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Category:Vitaly Busko"
Q9394017,"Larisa Bahdanovich",female,,,1958-09-13,Larysa,,,,,,,,,,Bahdanovich,,,,,,,,,,,,,,,,,,"Larisa Bahdanovich","Ларыса Багдановіч","Богданович, Лариса Николаевна","Łarysa Bahdanowicz",,"Ларыса Багдановіч",,,,,,,,,,,,,,"Larisa Bahdanovich",,,,"Larisa Bahdanovich",,,,,,,"Larisa Bahdanovich",,,,,,,,,,,,"Larisa Bahdanovich",,,,,,,,,,,,,,,,,,"Łarysa Bahdanowicz","Łarysa Bahdanowicz","Ларыса Мікалаеўна Багдановіч",,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
